index	count	dset	type
http://bio2rdf.org/drugbank:DB01356	780	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01357	177	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01365	118	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01380	178	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01403	393	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01440	164	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01551	234	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01577	400	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB04272	403	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB04572	116	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB04843	98	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00189	121	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00199	2087	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00200	225	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00205	628	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00248	482	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00254	1788	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00257	1150	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00273	1177	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00313	20256	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00314	172	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00316	17488	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00356	365	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00375	172	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00404	608	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00422	1702	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00440	747	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00449	149	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00490	785	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00512	3754	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00521	264	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00593	359	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00601	456	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00604	397	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00606	122	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00610	208	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00640	3248	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00661	2410	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00668	3316	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00674	544	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00683	873	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00696	525	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00703	319	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00705	417	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00723	362	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00770	1267	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00816	796	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00819	797	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00822	3399	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00829	1741	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00841	2347	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00867	641	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00884	745	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00889	248	4-CTD	Drug
