index	count	dset	type
http://bio2rdf.org/drugbank:DB00816	175	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00819	245	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00822	163	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00829	391	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00841	183	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00867	143	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00884	209	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00889	170	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00898	829	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00900	196	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00907	316	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00908	418	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00933	167	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00937	164	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00951	755	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00983	205	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00989	249	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01021	124	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01037	261	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01045	787	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01049	230	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01063	160	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01064	216	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01095	475	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01101	788	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01114	385	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01119	205	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01124	346	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01136	647	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01144	127	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01148	132	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01151	606	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01156	501	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01176	123	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01193	269	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01195	393	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01196	118	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01200	278	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01201	196	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01204	227	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01210	140	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01211	430	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01214	124	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01233	439	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01239	180	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01240	158	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01242	636	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01253	193	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01285	92	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01294	160	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01356	780	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01357	177	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01365	118	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01380	178	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01403	393	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01440	164	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01551	234	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB01577	400	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB04272	403	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB04572	116	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB04843	98	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00189	121	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00199	2087	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00200	225	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00205	628	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00248	482	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00254	1788	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00257	1150	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00273	1177	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00313	20256	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00314	172	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00316	17488	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00356	365	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00375	172	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00404	608	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00422	1702	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00440	747	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00449	149	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00490	785	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00512	3754	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00521	264	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00593	359	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00601	456	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00604	397	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00606	122	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00610	208	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00640	3248	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00661	2410	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00668	3316	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00674	544	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00683	873	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00696	525	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00703	319	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00705	417	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00723	362	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00770	1267	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00816	796	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00819	797	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00822	3399	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00829	1741	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00841	2347	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00867	641	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00884	745	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00889	248	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00898	8431	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00900	415	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00907	5647	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00908	1271	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00933	217	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00937	247	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00951	2003	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00983	1265	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00989	419	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01021	193	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01037	1258	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01045	3033	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01049	279	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01063	220	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01064	5084	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01095	1595	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01101	1512	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01114	747	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01119	1504	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01124	1011	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01136	3250	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01144	192	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01148	180	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01151	1643	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01156	1186	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01176	174	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01193	599	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01195	664	4-CTD	Drug
